name,ingredients,text
Пахлава азербайджанская,"['Сахар', 'Мука пшеничная', 'Орехи грецкие', 'Масло сливочное', 'Яйцо куриное', 'Желток яичный', 'Молоко', 'Шафран', 'Кардамон', 'Дрожжи', 'Соль', 'Масло растительное']","Смешиваем муку, 100 г масла, яйца. Сухие дрожжи заливаем 3-4 ст. л. молока. В молоко добавляем шафран. Смешиваем все компоненты. Получается нежное, гладкое тесто. Накрываем его полотенцем и ставим в теплое место на 2-3 часа. Сушим грецкие орехи в духовке около 10 мин. Измельчаем орехи (можно использовать кофемолку или блендер). Добавляем к орехам сахар (300 гр) и кардамон, перемешиваем. Когда тесто поднялось, делим его на 10 частей (2 должны быть чуть больше остальных - они будут соответственно первым и последним слоем). Тесто тонко раскатываем и укладываем в форму, предварительно смазанную растительным маслом. Сверху посыпаем орехами (слой орехов не должен быть слишком толстым). Орехи накрываем новым слоем теста. Всего должно получиться ровно 10 слоев! Последний слой должен быть чуть толще остальных. Срезаем лишнее тесто и ""закрываем"" краешки (чтобы начинка не была видна). Желток смешиваем с шафраном (0.5 ч. л.) и смазываем верхний слой пахлавы. Ставим в духовку на 8 минут (180С). Достаем пахлаву из духовки и нарезаем таким образом: 1. сначала прямые полосы (около 5 см шириной); 2. затем по диагонали режем на ромбы, каждый ромб режется отдельно, а не сплошной линией; 3. каждый ромб украшается половинкой грецкого ореха (но у меня, к сожалению, все орехи ушли на начинку). Растапливаем 50 г сливочного масла. Смазываем пахлаву и снова ставим в духовку на час (150-160С). Варим сироп (600 г сахара, 2 стакана воды). Варить на медленном огне до загустения. Готовую пахлаву обливаем сиропом и убираем в остывающую духовку на час. Каждый ""ромбик"" подается как отдельная порция. ПРИЯТНОГО АППЕТИТА!!!"
Салат из пекинской капусты с брынзой,"['Капуста пекинская', 'Брынза', 'Огурец', 'Грибы', 'Фасоль консервированная', 'Лук репчатый', 'Чеснок', 'Оливки черные', 'Майонез', 'Соевый соус']","Капусту тонко нашинковать, Лук нарезать соломкой как можно тоньше, замариновать на несколько минут в уксусе, слить. Брынзу, огурцы нарезать кубиками, грибы отварить и тоже порезать. Все продукты смешать, добавить фасоль консервированную, по желанию оливки или маслины. Заправить майонезом (немного), можно добавить соевый соус и тертый чеснок. Чуть приправить перцем. Приятного аппетита!"
Очень тонкие блины на дрожжах,"['Молоко', 'Яйцо куриное', 'Дрожжи', 'Соль', 'Сахар', 'Сливки', 'Мука пшеничная', 'Масло растительное']","Сначала смешиваем в миске 2,5 ст теплого молока, половину муки (сразу перемешиваю ее с дрожжами), соль и сахар. Это опара. Ставлю ее подходить на 2-3 часа (зависит от температуры в комнате) Она должна сильно увеличиться и даже начать опадать. В это время отделяем белки от желтков. Белки ставим в холодильник, желтки растираем до бела разводим оставшимся молоком, вливаем в опару и добавляем остальную муку и сливки (их можно взбить, а можно и так) Снова ставим на расстойку. Когда тесто увеличится вдвое, достаем белки и взбиваем их в крепкую пену. Белки аккуратно вмешиваем в тесто и начинаем печь блины. Я вливаю в тесто 50 г растительного масла и сковородки мажу растительным маслом (половинкой картофелины, нанизанной на вилку) Между испеченными блинчиками кладу небольшой кусочек сливочного масла (можно растопить его, добавив немного растительного масла, и промазывать силиконовой кисточкой) Блины получаются - объеденье"
Салат с авокадо,"['Авокадо', 'Капуста пекинская', 'Перец сладкий красный', 'Перец сладкий желтый', 'Сельдерей черешковый', 'Сыр мягкий', 'Соевый соус', 'Масло кунжутное', 'Лук зеленый', 'Лук красный']","Подготавливаем продукты Нарезаем кубиком авокадо Нарезаем кубиком красный и желтый перец Капусту рвем на мелкие кусочки Зеленый лук мелко режем Готовим заправку:Соевый соус смешиваем с маринованным луком и кунжутным маслом. Можно подать салат в порционных салатниках, уложив его слоями. Сверху полить заправкой А можно просто смешать все составляющие, полить заправкой. И подать в салатнике"
Грибной суп из свежих опят,"['Опята', 'Лапша', 'Масло растительное', 'Картофель', 'Морковь', 'Лук репчатый', 'Лук-порей', 'Петрушка', 'Соль', 'Перец черный']","Шаг 1 Морковь натереть мелкой терке, лук порезать мелко. В кастрюлю налить масло, поставить ее на огонь и выложить овощи, обжарить 5-7 минут помешивая. Шаг 2 Картофель очистить и порезать мелкой соломкой. Закинуть его тоже в кастрюлю вместе с грибами и залить водой. Готовить 15 минут. После этого закинуть лапшу и варить ещё 5-7 минут. Посолить, поперчить по вкусу. Шаг 3 Порезать лук порей и обжарить его слегка на сковороде. Зелень мелко порезать. Выложить суп порционно, сверху порей и посыпать зеленью. Приятного аппетита!"
Курица в ткемали,"['Курица', 'Ткемали', 'Соевый соус', 'Уксус', 'Соус', 'Табаско', 'Масло оливковое', 'Картофель', 'Приправа']","Приготовить маринад из соевого соуса и ткемали. Добавить в него чуть вустерширского соуса, красного бальзамического уксуса для вкуса, пару капель табаско или другого соуса чили и оливковое масло. Хорошо перемешать. Если необходимо, посолить. Хорошо натереть этим соусом курицу. Посыпать смесью прованских трав. Мариновать минимум 1 час. Картошку очистить, отварить минуты три в слегка подсоленной воде. Курицу выкладываем на противень, поливаем остатками маринада. Запечь курицу в духовке, постоянно поливая выделившимся соком, около 30 минут. Добавить на противень картофель. Запекать еще минут 30 (время запекания зависит от веса курочки)."
Лапша с грибами,"['Лапша', 'Шампиньоны', 'Лук репчатый', 'Морковь', 'Масло растительное', 'Специи']","Обжарить лук Добавить морковь и потушить с луком Порезать грибы пластинками и добавить к луку с морковью Добавить лапшу Обжарить лук с морковью, добавить грибы и потушить минут 10. Налить воды и засыпать лапшу, готовить до готовности лапши. В процессе приготовления надо следить, чтобы лапша не пригорела ко дну сковородки. ( надо будет добавить воды или масла)"
Икра из цветной капусты,"['Капуста цветная', 'Морковь', 'Лук репчатый', 'Помидор', 'Чеснок', 'Масло оливковое', 'Соевый соус', 'Специи', 'Перец черный', 'Перец сладкий красный']","Морковь почистить, помыть и нарезать мелкими кубиками (можно натереть на крупной тёрке). Лук почистить, помыть и нарезать мелкими кубиками. Я буду готовить икру в мультиварке, но можно и в обычной кастрюльке или сковороде. Итак, в чашу мультиварки выложить нарезанные лук и морковь, добавить оливковое масло и тушить 15-20 мин. Цветную капусту разобрать на соцветия (можно использовать замороженную), варить в кипящей воде 5 -7 минут. Отварную цветную капусту откинуть на дуршлаг и мелко порезать. Добавить нарезанную цветную капусту к луку с морковкой. Помидоры помыть, чеснок почистить, помыть и поместить их в блендер, измельчить. Перелить томатную массу в мультиварку, добавить прованские травы, молотый красный и черный перец. Затем добавить легкий соевый соус Kikkoman. Хорошо перемешать и тушить еще 10-15 мин. Готовую икру можно подавать к столу Она получается очень нежной и ароматной!!! Вкусно как в тёплом, так и в холодном виде Приятного аппетита!!!"
Овощной салат с сырными шариками,"['Огурец', 'Помидор', 'Руккола', 'Соль', 'Горчица', 'Сок лимонный', 'Мед', 'Перец чили', 'Масло растительное', 'Сыр твердый', 'Яйцо куриное', 'Майонез', 'Паприка сладкая']","Огурец и помидор моем и нарезаем. Огурец тонкими кольцами, помидор полукольцами. Осуществить нарезку мне помог кухонный комбайн GALAXY GL2300. Моем рукколу, обсушиваем бумажным полотенцем, рвём или режем, соединяем с помидорами и огурцом. Делаем заправку. Соединяем сок лимона, горчицу, мёд, хлопья перца чили, соль и растительное масло, перемешиваем. Заправляем овощи заправкой, аккуратно перемешиваем. Готовим сырные шарики. Измельчаем сыр. Я использовала для этого кухонный комбайн GALAXY GL2300. Также измельчаем вареное яйцо с помощью кухонного комбайна GALAXY GL2300. Добавляем к сыру и яйцу майонез. Перемешиваем массу и делаем шарики размером с грецкий орех. На сервировочное блюдо кладём салат, сверху на овощи кладём сырные шарики. Посыпаем сверху паприкой. Счастливого Нового года! В приготовлении этого салата мне очень помог кухонный комбайн GALAXY GL2300 Практически весь процесс приготовления салата был с его помощью: нарезка огурцов и помидоров, измельчение сыра и яиц."
Вкусные щи в мультиварке,"['Говядина', 'Лук репчатый', 'Морковь', 'Помидор', 'Капуста белокочанная', 'Картофель', 'Соль', 'Перец черный', 'Лист лавровый', 'Масло подсолнечное']","Включаем мультивару на режим ""Выпечка"" 40 мин. На дно наливаем масло, засыпаем нарезанный лук. Закрываем крышку. Режем мясо маленькими кусочками. Засыпаем в мультиварку и закрываем крышку. Чистим и трем на крупной терке морковку. Добавляем к луку с мясом, закрываем крышку. Оставляем до окончания программы. Тем временем подготавливаем капусту (нарезаем соломкой), помидор (мелко режем) и картошку (нарезаем кубиками). После сигнала об окончании программы, закладываем капусту, помидор и картошку (чаша заполнена немного ниже максимальной отметки), заливаем водой до максимальной отметки, добавляем соль и специи. Выставляем программу ""Тушение"" на 1 час 30 мин. После сигнала - Приятного аппетита!"
Грибной суп,"['Грибы', 'Лук репчатый', 'Морковь', 'Картофель', 'Бульон', 'Сметана', 'Сыр плавленый', 'Соль', 'Перец черный', 'Лист лавровый', 'Зелень', 'Масло растительное']","Луковицу чистим, мелко режем, пассеруем на растительном масле, морковку натереть на крупной терке, добавить к луку, грибы режем, добавляем к луку и моркови, все это протушить, добавить три ложки сметаны, еще немного протушить. В это время бульон довести до кипения, добавить в него нарезанную картошку, когда картошка почти готова, солим, добавляем грибы, лавровый лист, специи, плавленый сырок натереть на терке, всыпать в суп, размешать, добавить зелень, суп готов. Приятного аппетита!"
"Пирог с меренгой, орехами и шоколадом","['Вода', 'Молоко', 'Мука пшеничная', 'Сахар', 'Соль', 'Масло сливочное', 'Яйцо куриное', 'Дрожжи', 'Белок яичный', 'Ванилин', 'Орехи грецкие', 'Шоколад темный', 'Желток яичный']","Дрожжевое тесто я замешиваю с помощью хлебопечки, но можно тесто замесить и обычным способом. В ведерко хлебопечки наливаем теплую воду и молоко, добавляем дрожжи, оставляем минут на 5-10. Добавляем просеянную муку, сахар, соль, яйцо, размягченное сливочное масло, помещаем ведерко в хлебопечку, включаем режим замеса теста. После замеса тесто перекладываем в миску, накрываем пленкой и убираем в теплое место до увеличения теста в объеме в 2-3 раза. В это время приготовим начинку. Грецкие орехи порубить ножом. Шоколад порезать на кусочки. Орехи и шоколад перемешать в одной миске. Когда тесто увеличится в объеме в 2-3 раза, готовим безе. Белки должны быть комнатной температуры. Взбиваем в миске белки со щепоткой соли на низкой скорости в течение 30 секунд. Затем взбиваем белки на большой скорости, добавляем ванилин, снова взбиваем. По одной столовой ложке добавляем сахар, продолжая взбивать, пока не получится блестящая устойчивая пена. Тесто перекладываем на стол, хорошо уминаем. Раскатываем тесто в прямоугольник размером примерно 50*30 см. Если тесто прилипает, можно стол чуть посыпать мукой. На тесто выкладываем взбитые белки с сахаром, Распределяем их по поверхности теста, отступая от края примерно 2-3 см. Затем посыпаем орехами и шоколадом. Сворачиваем тесто в рулет, защипываем край по шву. Соединяем концы рулета, тщательно защипывая тесто. Противень нужно застелить бумагой для выпечки. Аккуратно перекладываем пирог на противень швом вниз. Накрываем пирог пленкой и даем увеличиться в объеме в 1,5-2 раза. Острым ножом, а лучше кухонными ножницами делаем надрезы вдоль внешнего края. Смазываем пирог взбитым желтком. Выпекаем пирог в духовке при температуре 180 градусов примерно 25-30 минут до золотистого цвета. Даем пирогу остыть. Приятного Вам аппетита!"
Салат из фасоли с пекинской капустой,"['Фасоль', 'Капуста пекинская', 'Огурец', 'Перец болгарский', 'Шампиньоны', 'Масло растительное', 'Зелень', 'Перец чили', 'Петрушка', 'Масло кунжутное', 'Соевый соус', 'Уксус', 'Сахар', 'Соль', 'Смесь перцев']","Для приготовления берём белую фасоль, я использовала Агро-Альянс. Хорошо промываем, можно замочить заранее на ночь в воде. Заливаем водой в соотношении 1 : 3, доводим до кипения и варим на медленном огне до готовности. Я варила 75 минут. Шампиньоны моем, обсушиваем, режем пластинками. Обжариваем на растительном масле до румяности. Кладём шампиньоны к остывшей фасоли. Овощи моем, чистим. Пекинскую капусту тонко шинкуем. Огурец режем тонкими полукольцами. Перец (у меня - жёлтый) режем тонкими полосками. Кладём все овощи к фасоли с грибами. Делаем заправку. Смешиваем растительное и кунжутное масло, рисовый уксус, соевый соус, сахар, соль, петрушку, перец чили и смесь перцев. Заправляем салат заправкой, перемешиваем. При подаче при желании посыпаем рубленной зеленью. Поститесь с удовольствием!"
Шоколадно - капуччиновое  печенье,"['Мука пшеничная', 'Разрыхлитель теста', 'Сода', 'Масло сливочное', 'Сахар', 'Мед', 'Соль', 'Яйцо куриное', 'Кофе натуральный', 'Фундук', 'Шоколад молочный']","Масло взбить в миксере до кремового состояния, добавить сахар, мёд, соль и продолжать взбивать, чтобы сахар растворился. Добавить яйцо, кофейный (добавила шоколадный) экстракт и растворённый в 1 ст. л. горячей воды кофе, продолжать взбивать ещё 3 минуты. Просеять муку с разрыхлителем и содой. Орехи крупно измельчить. Шоколад нарезать мелкими кусочками и вместе с орехами и мукой добавить в тесто. Взбивать ещё 2-3 минуты. Выложить тесто на пергаментнную бумагу Из теста сформировать жгутик около 6 см толщиной, завернуть в пищевую плёнку и поставить в холодильник на 2 часа. Духовку разогреть до 170°C. Тесто нарезать кружочками около 1 см толщиной, выложить на противень, выстланный пергаментной бумагой. Выпекать 12 минут или же ориентируйтесь на свою духовку. На заднем фоне видно пробные, то есть каждая духовка печет по своему. Но я осталась недовольна, что форма печенья не сохранялась круглой. И я решила сделать по такому методу. Нарезала и положила в формочки фольговые. Как думаете, запатентовать мне этот способ в этих печеньях ;-) :-D. Вышли идеально ровные, но надо дать им полностью остыть в форме, слегка отодвинув от края. На первом плане идеально ровные, на заднем фоне те, что выпекались обычным способом."
Фасоль с замороженными овощами и рисом,"['Рис', 'Фасоль', 'Овощи', 'Масло подсолнечное']","Рис тщательно промойте в холодной воде, слейте воду, рис откиньте на сито. Выложите рис в кастрюлю, залейте холодной водой из расчёта 2 стакана воды на 1 стакан риса. При желании можно немного посолить. Доведите рис до кипения без крышки, затем уменьшите огонь и варите рис на маленьком огне почти до полного выпаривания воды. Не перемешивать., когда вода испарится с поверхности крупы, накройте кастрюлю крышкой и потомите около 5мин., затем снимите с огня и оставьте под крышкой ещё на 5 мин. Фасоль промойте, удалите поломанные и изменившие цвет бобы. Фасоль положите в глубокую кастрюльку и залейте холодной водой из расчёта 3стакана воды на 1 стакан фасоли. Оставьте на 10-12 часов в прохладном месте, что-бы не допустить закисания ( можно в холодильнике). Промойте фасоль ещё раз, положите в большую кастрюлю и залейте холодной водой, так что-бы вода закрывала фасоль на 2см. Доведите фасоль до кипения, и проварите на медленном огне 5-10 мин. Затем откиньте фасоль на дуршлаг, промойте, и снова положите в кастрюлю, залейте холодной водой, так что-бы вода закрывала фасоль на 10 см. Доведите фасоль до кипения ( без крышки), убавьте огонь, влейте 2. ст. л. масла ""Олейна"" и варите фасоль до размягчения на медленном огне. По мере необходимости подливайте кипяток. Обычно это занимает 1-2 часа. Это зависит от сорта фасоли, как и сколько она хранилась. Лавровый лист по желанию. На сковороде разогрейте масло, выложите смесь замороженных овощей и обжаривайте помешивая, 5-10минут. Добавьте к овощам рис и фасоль, специи по вкусу ( я не добавляю), перемешайте, прогрейте под крышкой пару минут и снимите с огня. Украсьте по желанию и подавайте, приятного аппетита. Всем добрый вечер, рада, что я с вами. Рецепт дебютный, я не умею фотографировать, поэтому сразу приношу извинения если фото не очень, если это повтор, тоже. Фасоль и рис я варю накануне, потом просто за 5-10мин это блюдо готовлю. Количество ингредиентов весьма условное. Рис можно заменить на булгур, тоже очень вкусно. Что касается фасоли, я знаю многие её боятся совершенно напрасно, существует 5 ""НЕ"" идеальной фасоли, если вы их знаете, у вас всегда будет очень вкусная, ароматная, размягчённая фасоль. НЕ солим., НЕ мешаем., НЕ подливаем холодную воду., НЕ закрываем крышкой и НЕ варим на большом огне. Надеюсь была полезной."
Творожно-сырный пирог,"['Яйцо куриное', 'Маргарин', 'Пиво светлое', 'Мука пшеничная', 'Творог', 'Помидор', 'Сыр твердый', 'Зелень', 'Чеснок', 'Соль', 'Перец черный', 'Сахар']","Готовим ингридиенты Маргарин мелко рубим и вливаем пиво, перемешиваем. Постепенно вводим муку и замешиваем крутое тесто. На смоченный холодной водой противень раскатываем тесто нетолстым слоем. Творог смешиваем с яйцами, добавляем чуток зелени и чеснока и кладем равномерно сверху теста. Затем кладем слой порезанных кружочками помидор. Сверху солим, перчим и сахарим и еще посыпаем зеленью. Все сверху укрываем потертым на крупной терке сыром и запекаем в духовке приблизительно 30-40 мин. ( Сегодня, когда пекла пирог, нашла в холодильнике охотничьи колбаски, я их тоже добавила)... Надеюсь, что понравится. Это блюдо чем-то пицу напоминает)"
"Шоколадные маффины ""Нежность""","['Масло сливочное', 'Сахар', 'Молоко', 'Какао-порошок', 'Яйцо куриное', 'Разрыхлитель теста', 'Мука пшеничная']","В кастрюле смешать масло, какао, сахар, молоко. Довести до кипения, помешивая, убрать с огня. Остудить. В остывшую массу добавить яйца, перемешать. Добавить разрыхлитель и муку, замесить не очень густое тесто. Формочки немного смазать маслом (у меня силиконовые, я их сбрызгиваю водой), наполнить тестом на 2/3. Поставить в разогретую до 180 градусов духовку, выпекать в течение 20-25 минут. Остывшие маффины можно смазать кремом или шоколадной глазурью. Но они уже и так потрясающе вкусные! Угощайтесь! Очень простой рецепт, но необыкновенная выпечка! Муж съедает их почти за раз, еще горячими. Думаю, если выпечь в виде коржа и смазать масляным кремом, получится потрясающе нежный торт!"
Бабушкин фруктовый пирог,"['Мука пшеничная', 'Молоко', 'Масло растительное', 'Сахар', 'Яйцо куриное', 'Сода', 'Фрукты']","Отделить желтки от белков, белки убрать в холодильник. 4 желтка и 3 /4 стакана сахара растереть до бела, влить молоко, масло, размешать, всыпать просеянную муку и соду, хорошо перемешать. Тесто вылить на смазанную маслом сковороду, печь до готовности. Пока пирог печется ягоды и фрукты нарезать небольшими кусочками. Белки и 4 столовые ложки сахара взбить в очень крепкую пену. На готовый пирог выложить в один ряд ягоды и фрукты, сверху выложить ложкой взбитые белки. Запечь до подрумянивания белков. Пошаговые фото к сожалению не сделала, но рецепт простой, мне кажется из текста все понятно. Если ягоды замороженные, то нужно заранее разморозить."
"Заправка ""Сметанная с яичными желтками""","['Сметана', 'Желток яичный', 'Лимон', 'Специи']","Яйцо сварить вкрутую. Желток перемешать со сметаной и солью. Добавить сок, выжатый из лимонного ломтика, перемешать. Соус изумительно подходит к овощным, летним салатикам. Приятного аппетита."
Джонни-кейк,"['Мука кукурузная', 'Мука пшеничная', 'Кефир', 'Сахарная пудра', 'Яйцо куриное', 'Соль', 'Масло сливочное', 'Разрыхлитель теста', 'Сода']","Смешать кукурузную и пшеничную муку, разрыхлитель, соду и соль, просеять в глубокую миску. Добавить сахарную пудру. Чтобы оладьи получились пышными, их нельзя долго перемешивать - выйдут пузырьки воздуха, поэтому чтобы сахар растворился быстро и полностью, лучше добавлять сахарную пудру. В другой миске смешать жидкие ингредиенты - кефир, яйца и половину нормы растопленного сливочного масла. Влить жидкие ингредиенты в сухие, кратко перемешать. Добавить остатки сливочного масла, еще раз перемешать и оставить тесто на 10-15 минут, чтобы кукурузная мука набухла. Тесто получается не очень густое, поэтому оладьи получаются невысокие. Если добавить муки, можно добиться пышных красивых оладий, но они станут не такими мягкими и нежными. Важно! После расстойки не перемешивайте вновь тесто, берите его столовой ложкой с краю миски, выкладывайте на сковороду и обжаривайте с двух сторон на среднем огне в небольшом количестве растительного масла. Подавать, посыпав сахарной пудрой."
"Курица ""Нанбан""","['Бедро куриное', 'Мука пшеничная', 'Крахмал', 'Масло растительное', 'Рис', 'Яйцо куриное', 'Вино рисовое', 'Соевый соус', 'Сахар', 'Уксус', 'Кетчуп', 'Имбирь', 'Лук зеленый', 'Корнишоны', 'Майонез', 'Соль', 'Перец белый', 'Петрушка', 'Горчица', 'Сок лимонный', 'Цедра лимона']","Приготовить необходимые ингредиенты. В кастрюлю для варки риса налить воду, поставить на огонь и довести до кипения. В кипящую воду добавить необходимое количество риса в пакетиках ТМ Мистраль, варить согласно инструкции до готовности. Приготовить маринад. Для этого в большой миске слегка взбить яйца, добавить рисовое вино Мирин и соевый соус. Хорошо перемешать. Сразу поясню: Мирин - это рисовое вино, которое имеет низкое содержание алкоголя и очень сладкий вкус и его не нужно путать с рисовым уксусом. Мирин можно заменить белым вином с добавлением сахара из расчета: 1 столовая ложка мирина = 2 чайные ложки белого вина + 1 чайная ложка сахара. Можно обойтись и без мирина. Куриные бедра освободить от кожи. При желании куриное мясо можно нарезать на кусочки размером около 1,5 см. Поместить в маринад, хорошо перемешать и оставить мариноваться на 5 минут. Соединить все ингредиенты для Нанбан в отдельной миске и взбить венчиком до полного растворения сахара. Приготовить соус тартар. Вареное яйцо, зеленый лук и корнишон (или маринованный имбирь) мелко нарезать. Добавить белый перец, петрушку, сок и цедру лимона, горчицу и майонез. Перемешать. Посолить по вкусу. До подачи соус убрать в холодильник. Муку смешать с крахмалом. Курицу вынуть из маринада и обвалять в мучной смеси. Удобно это делать в полиэтиленовом пакете. Хорошо разогреть растительное масло в воке или в глубоком сотейнике. Масла должно быть достаточное количество для жарки во фритюре. Добавить курицу и обжарить до золотистого цвета по 3-5 минут с двух сторон. После фритюра окунуть куски курицы в соус нанбан. К этому времени рис сварился. Пакеты вынуть из воды, надрезать и разложить рис по тарелкам. Подавать курицу с соусом тартар и рисом. Если у вас остался соус Нанбан, его тоже подайте для макания кусочков курицы. Очень вкусно! Приятного аппетита!"
Грибы с беконом,"['Грибы', 'Грудинка', 'Сливки', 'Лук репчатый', 'Мука пшеничная', 'Тмин', 'Шалфей']","Нарезать грибы на четвертинки. Лук крупными кусочками, а луковицу нашинковать. Грудинку нарезать соломкой и поджарить, когда станет прозрачной, добавить зеленый и репчатый лук и пассеровать 5 -6 мин. Положить в сковороду грибы и тушить, пока ни выпарится вода. Посыпать грибы мукой, перемешать, влить сливки и дать закипеть, посолить и поперчить."
Нут в томатном соусе на зиму,"['Нут', 'Помидор', 'Перец болгарский', 'Перец чили', 'Кабачок', 'Чеснок', 'Соль', 'Сахар', 'Уксус', 'Лук репчатый', 'Лист лавровый', 'Перец душистый', 'Специи', 'Масло растительное']","Подготовить ингредиенты для закуски. Нут указан варёный, не по весу, а по объёму, равному 700 граммовой банки. Из специй можно взять прованские травы, зиру, сухой укроп и др. Нут замочить не меньше чем на 4-5 часов и сварить до готовности, ориентируясь на инструкцию по приготовлению на пачке. Для приготовления заготовки наполнить варёным нутом банку, объёмом 700 мл. Кабачок натереть на терке, лук измельчить в блендере и отправить их в казан с маслом обжариваться на 10 минут. Если кабачок старый, то шкурку срезать и удалить семена. Пока обжаривается кабачок, помидоры и перцы измельчить блендером и, после указанного времени, выложить в казан. После закипания тушить всё вместе еще 15 минут. Добавить варёный нут, специи и готовить 40 минут. За 10 минут до готовности положить выдавленный через пресс чеснок и влить уксус. Внимание! Соль-сахар-уксус кладите по вкусу, ведь сочность и размер овощей могут быть разными. Банки и крышки постерилизовать. Разложить нут прямо из казана горячим по банкам. Перевернуть на крышку и укутать до полного остывания. Из этого количества ингредиентов получилось две банки объёмом 650 мл и пиалка на пробу. Заготовка хорошо стоит в квартире в кладовке. У меня ни разу не вздувалась крышка. Нут в томатном соусе можно есть как горячим, так и холодным. Это и гарнир, и самостоятельное блюдо, и салат. С ним можно приготовить суп или рагу."
Куриные бёдра с овощами и репой,"['Бедро куриное', 'Чеснок', 'Лук репчатый', 'Соевый соус', 'Соль', 'Перец красный жгучий', 'Масло оливковое', 'Картофель', 'Репа', 'Морковь']","Куриные бёдра нужно замариновать. Бёдра моем, обсушиваем бумажным полотенцем, кожу не снимаем. Солим и перчим, наливаем соевый соус. Соевый соус нужно взять качественный натуральный. У меня сладкий. Режем лук репчатый полу-кольцами, чеснок на ""пятачки"". Отправляем к бёдрам, наливаем ложку оливкового масла, которое можно заменить на подсолнечное. Руками всё перемешиваем тщательно, накрываем крышкой и ставим замариноваться на 30 минут хотя бы. Я сделала это на ночь и пару раз ещё перемешала. Можно взять любую форму глубокую. Я возьму глиняную D-22 см и высотой-6 см. В глиняной непокрытой глазурью посуде еда самая вкусная. Нарезаем овощи произвольно и выкладываем на низ посуды, которую предварительно смажу 1 ст л масла. Картофель молодой можно почистить от шкурки, а можно и не чистить, просто хорошо помыть щёткой. Поверх выкладываем бёдра и выливаем маринад сверху вместе с луком и чесноком. Ставим в духовку на 1 час, выставив т-180 С. Мне этого времени хватило. Ориентируй тесь по своей духовке. Если бёдра будут подгорать, а блюдо ещё не готово, то накройте посуду с содержимым фольгой. Блюдо готово. Очень ароматное и красивое. Подаём. Раскладываем по тарелкам. Вот такой вид поближе. Немного о репе: Репа – продукт низкокалорийный, богатый витаминами. Репа насыщает, но не даёт заводиться лишнему весу. Минеральные соли и эфирные масла, содержащиеся в репе, могут служить универсальным комплексом, регулирующим состояние здоровья. Неспроста появилось такое количество сказок и поговорок про репу. Этот корнеплод обладает ранозаживляющим, мочегонным, противовоспалительным, антисептическим и обезболивающим действиями. Кроме того что правильно приготовленная репа очень вкусная, она ещё и невероятно полезна. Сейчас сезон репки и её нужно включать в свой рацион. Тем, кто думает что не любит репу, нужно приготовить примерно вот так, как сделала это я. Вы просто её не узнаете в этом блюде."
